objectid,year,state,agency,fire_name,alarm_date,containment_date,cause,collection_method,management_objective,gis_calculated_acres,decades,shape__area,shape__length
1,2025,CA,USF,GIFFORD,2025-08-01,2025-10-14,14,3,1.0,131613.5,2020-2025,798129287.8,315035.2577
2,2025,CA,USF,MADRE,2025-07-02,2025-07-26,14,7,1.0,80779.1,2020-2025,489691304.5,234788.8702
3,2025,CA,USF,GARNET,2025-08-24,2025-10-23,1,3,1.0,60019.23,2020-2025,381019801.1,293948.4282
4,2025,CA,CDF,SALT,2025-09-02,2025-09-17,1,7,1.0,25553.55,2020-2025,158299234.4,111440.0928
5,2025,CA,CDF,PALISADES,2025-01-07,2025-01-31,14,7,1.0,23448.88,2020-2025,138651835.0,140231.6082
6,2025,CA,USF,BUTLER,2025-07-04,2025-09-11,14,7,1.0,21057.61,2020-2025,151016558.6,134217.7349
7,2025,CA,USF,GREEN,2025-07-02,2025-08-14,1,3,1.0,19021.99,2020-2025,134608787.7,85187.85554
8,2025,CA,CDF,EATON,2025-01-08,2025-01-31,14,7,1.0,14056.26,2020-2025,83363928.89,104933.2072
9,2025,CA,USF,DILLON,2025-08-25,2025-11-06,1,7,1.0,11929.38,2020-2025,86263960.68,102086.7727
10,2025,CA,CDF,HUGHES,2025-01-22,2025-01-28,14,7,1.0,10396.8,2020-2025,62160638.91,96698.59986
11,2025,CA,CDF,6-5,2025-09-02,2025-09-13,1,3,1.0,6957.999,2020-2025,45223302.84,63515.06818
12,2025,CA,CDF,PICKETT,2025-08-21,2025-09-07,14,1,1.0,6822.29,2020-2025,45303667.38,73289.32042
13,2025,CA,CDF,BORDER 2,2025-01-23,2025-01-29,5,4,1.0,6629.878,2020-2025,37923149.96,83113.64977
14,2025,CA,CCO,CANYON,2025-08-06,2025-08-11,14,2,1.0,5367.721,2020-2025,32035257.53,56639.82675
15,2025,CA,CDF,1-4,2025-09-02,2025-09-04,1,3,1.0,4451.064,2020-2025,28482286.59,40189.5384
16,2025,CA,CCO,DOGS,2025-06-13,2025-06-15,14,2,1.0,4406.828,2020-2025,27013936.75,28776.41629
17,2025,CA,BLM,JAW,2025-05-19,2025-06-01,11,7,1.0,4326.964,2020-2025,26357809.65,50579.21566
18,2025,CA,BLM,RANCH,2025-06-10,2025-06-19,14,3,1.0,4291.886,2020-2025,25570246.14,39945.269
19,2025,CA,USF,BLUE,2025-08-27,2025-10-13,1,7,1.0,3712.53,2020-2025,27048473.45,48789.64442
20,2025,CA,CDF,2-2,2025-09-02,2025-09-06,1,3,1.0,3462.842,2020-2025,22557714.14,33702.6641
21,2025,CA,USF,MAMMOTH,2025-07-25,2025-08-01,1,8,1.0,2534.267,2020-2025,18422585.84,33074.41391
22,2025,CA,USF,LITTLE,2025-08-22,2025-09-01,14,7,1.0,2506.547,2020-2025,15371464.36,29386.20786
23,2025,CA,CDF,WOLF,2025-06-29,2025-07-14,9,3,1.0,2413.62,2020-2025,14210929.93,27052.84617
24,2025,CA,USF,PACK,2025-11-13,2025-12-03,9,4,1.0,1974.433,2020-2025,12744696.1,34255.234
25,2025,CA,CDF,SPRINGS,2025-05-06,2025-05-07,10,1,1.0,1817.0,2020-2025,11178162.54,19095.49631
26,2025,CA,CDF,ROSA,2025-08-04,2025-08-12,14,7,1.0,1670.898,2020-2025,9766861.57,26015.13839
27,2025,CA,CDF,BITTER,2025-06-14,2025-06-14,2,7,1.0,1663.73,2020-2025,10189057.94,18907.38277
28,2025,CA,CDF,SILVER,2025-03-30,2025-04-08,7,5,1.0,1605.057,2020-2025,9716010.898,34122.49747
29,2025,CA,CDF,2-8,2025-09-02,2025-09-09,1,3,1.0,1339.798,2020-2025,8719001.695,17013.11879
